,Age Groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over
      Ireland(Eire),    1921 to 1925,160,0,0,0,0,160
      Ireland(Eire),    1926 to 1930,415,0,0,0,0,415
      Ireland(Eire),    1931 to 1935,25,0,0,0,0,25
      Ireland(Eire),    1936 to 1940,65,0,0,0,0,65
      Ireland(Eire),    1941 to 1945,110,0,0,0,15,90
      Ireland(Eire),    1946 to 1950,670,0,0,0,125,545
      Ireland(Eire),    1951 to 1955,1935,0,0,85,405,1445
      Ireland(Eire),    1956 to 1960,3740,0,0,755,440,2550
      Ireland(Eire),    1961 to 1965,1590,0,0,440,445,705
      Ireland(Eire),    1966 to 1970,3730,0,0,905,1780,1050
      Ireland(Eire),    1970 to 1975,2835,0,0,1110,1255,475
      Ireland(Eire),    1976 to 1980,1735,0,0,970,570,200
      Ireland(Eire),    1981 to 1985,1250,0,50,890,215,90
      Ireland(Eire),    1986 to 1990,1850,0,245,1330,185,95
      Ireland(Eire),    1991 to 1995,820,10,110,605,50,50
      Ireland(Eire),    1996 to 2000,485,55,15,360,25,30
      Ireland(Eire),    2001 to 2006,725,155,40,490,0,30
      Ireland(Eire),  Non-permanent residents,440,60,90,230,50,15
      Scandinavia,Total - Immigrant Status and Period of Immigration,44250,1390,1130,12175,12195,17360
      Scandinavia,  Non-immigrants,630,225,115,235,25,30
      Scandinavia,  Immigrants,42245,880,815,11195,12065,17290
      Scandinavia,    Before 1915,15,0,0,0,0,15
      Scandinavia,    1916 to 1920,50,0,0,0,0,50
      Scandinavia,    1921 to 1925,330,0,0,0,0,330
      Scandinavia,    1926 to 1930,1090,0,0,0,0,1090
      Scandinavia,    1931 to 1935,110,0,0,0,0,110
      Scandinavia,    1936 to 1940,70,0,0,0,0,70
      Scandinavia,    1941 to 1945,155,0,0,0,30,125
      Scandinavia,    1946 to 1950,1630,0,0,0,590,1040
      Scandinavia,    1951 to 1955,7795,0,0,265,2950,4575
      Scandinavia,    1956 to 1960,9995,0,0,1815,2630,5545
      Scandinavia,    1961 to 1965,3325,0,0,705,990,1630
      Scandinavia,    1966 to 1970,5310,0,0,1530,2290,1490
      Scandinavia,    1970 to 1975,3030,0,0,1280,1205,550
      Scandinavia,    1976 to 1980,2570,0,0,1510,700,355
      Scandinavia,    1981 to 1985,1305,0,60,910,220,110
      Scandinavia,    1986 to 1990,1195,0,180,745,195,75
      Scandinavia,    1991 to 1995,1305,115,235,795,110,50
      Scandinavia,    1996 to 2000,1415,430,170,715,65,30
      Scandinavia,    2001 to 2006,1555,340,160,915,95,40
      Scandinavia,  Non-permanent residents,1380,285,205,740,100,40
        Denmark,Total - Immigrant Status and Period of Immigration,17675,220,215,3925,5015,8300
        Denmark,  Non-immigrants,160,80,10,60,10,0
        Denmark,  Immigrants,17230,80,170,3705,4990,8290
        Denmark,    Before 1915,0,0,0,0,0,0
        Denmark,    1916 to 1920,10,0,0,0,0,10
        Denmark,    1921 to 1925,45,0,0,0,0,45
        Denmark,    1926 to 1930,345,0,0,0,0,345
        Denmark,    1931 to 1935,40,0,0,0,0,40
        Denmark,    1936 to 1940,15,0,0,0,0,15
        Denmark,    1941 to 1945,25,0,0,0,0,25
        Denmark,    1946 to 1950,695,0,0,0,155,535
        Denmark,    1951 to 1955,3565,0,0,85,1040,2435
        Denmark,    1956 to 1960,5815,0,0,960,1645,3205
        Denmark,    1961 to 1965,1465,0,0,260,430,780
        Denmark,    1966 to 1970,1820,0,0,485,865,470
        Denmark,    1970 to 1975,920,0,0,345,390,180
        Denmark,    1976 to 1980,900,0,0,485,300,120
        Denmark,    1981 to 1985,400,0,0,335,35,25
        Denmark,    1986 to 1990,365,0,85,190,50,40
        Denmark,    1991 to 1995,280,10,40,200,30,10
        Denmark,    1996 to 2000,245,20,15,180,20,10
        Denmark,    2001 to 2006,285,50,25,180,25,0
        Denmark,  Non-permanent residents,280,65,35,160,10,10
        Finland,Total - Immigrant Status and Period of Immigration,12910,305,230,3540,3815,5020
        Finland,  Non-immigrants,110,25,25,25,15,15
        Finland,  Immigrants,12480,185,175,3365,3770,4995
        Finland,    Before 1915,0,0,0,0,0,0
        Finland,    1916 to 1920,20,0,0,0,0,20
        Finland,    1921 to 1925,120,0,0,0,0,120
        Finland,    1926 to 1930,240,0,0,0,0,240
        Finland,    1931 to 1935,55,0,0,0,0,55
        Finland,    1936 to 1940,10,0,0,0,0,10
        Finland,    1941 to 1945,40,0,0,0,25,15
        Finland,    1946 to 1950,340,0,0,0,115,225
        Finland,    1951 to 1955,2450,0,0,105,1065,1275
        Finland,    1956 to 1960,2700,0,0,545,670,1485
        Finland,    1961 to 1965,1070,0,0,255,315,505
        Finland,    1966 to 1970,2135,0,0,670,820,645
        Finland,    1970 to 1975,1110,0,0,465,430,210
        Finland,    1976 to 1980,700,0,0,425,175,100
        Finland,    1981 to 1985,320,0,10,240,55,25
        Finland,    1986 to 1990,210,0,15,170,0,20
        Finland,    1991 to 1995,295,10,50,195,30,10
        Finland,    1996 to 2000,305,75,60,135,15,15
        Finland,    2001 to 2006,355,95,40,160,45,15
        Finland,  Non-permanent residents,325,100,30,150,35,15
        Iceland,Total - Immigrant Status and Period of Immigration,710,60,65,385,90,115
        Iceland,  Non-immigrants,30,10,10,15,0,0
        Iceland,  Immigrants,530,10,45,275,90,115
        Iceland,    Before 1915,10,0,0,0,0,10
        Iceland,    1916 to 1920,10,0,0,0,0,10
        Iceland,    1921 to 1925,0,0,0,0,0,0
        Iceland,    1926 to 1930,10,0,0,0,0,10
        Iceland,    1931 to 1935,0,0,0,0,0,0
        Iceland,    1936 to 1940,0,0,0,0,0,0
        Iceland,    1941 to 1945,0,0,0,0,0,0
        Iceland,    1946 to 1950,10,0,0,0,0,10
        Iceland,    1951 to 1955,15,0,0,0,10,10
        Iceland,    1956 to 1960,55,0,0,10,15,35
        Iceland,    1961 to 1965,10,0,0,0,0,0
        Iceland,    1966 to 1970,100,0,0,45,30,20
        Iceland,    1970 to 1975,65,0,0,55,10,0
        Iceland,    1976 to 1980,60,0,0,50,10,0
        Iceland,    1981 to 1985,20,0,0,0,15,0
        Iceland,    1986 to 1990,35,0,10,20,0,0
        Iceland,    1991 to 1995,15,10,0,10,0,0
        Iceland,    1996 to 2000,65,10,15,35,10,0
        Iceland,    2001 to 2006,65,0,20,40,0,10
        Iceland,  Non-permanent residents,155,40,10,95,0,0
        Norway,Total - Immigrant Status and Period of Immigration,5515,220,280,1420,1160,2445
        Norway,  Non-immigrants,135,35,30,55,10,10
        Norway,  Immigrants,5195,180,215,1255,1125,2420
        Norway,    Before 1915,0,0,0,0,0,0
        Norway,    1916 to 1920,0,0,0,0,0,0
        Norway,    1921 to 1925,75,0,0,0,0,75
        Norway,    1926 to 1930,370,0,0,0,0,370
        Norway,    1931 to 1935,10,0,0,0,0,10
        Norway,    1936 to 1940,25,0,0,0,0,25
        Norway,    1941 to 1945,60,0,0,0,0,60
        Norway,    1946 to 1950,255,0,0,0,70,190
        Norway,    1951 to 1955,940,0,0,50,255,635
        Norway,    1956 to 1960,885,0,0,160,135,585
        Norway,    1961 to 1965,340,0,0,90,80,175
        Norway,    1966 to 1970,605,0,0,135,265,210
        Norway,    1970 to 1975,250,0,0,85,130,30
        Norway,    1976 to 1980,280,0,0,185,70,25
        Norway,    1981 to 1985,210,0,40,115,40,10
        Norway,    1986 to 1990,160,0,25,90,45,0
        Norway,    1991 to 1995,245,15,75,105,20,30
        Norway,    1996 to 2000,255,115,35,90,15,0
        Norway,    2001 to 2006,240,50,35,150,0,0
        Norway,  Non-permanent residents,195,10,40,110,30,10
        Sweden,Total - Immigrant Status and Period of Immigration,7435,585,340,2900,2115,1485
        Sweden,  Non-immigrants,195,80,35,80,0,0
        Sweden,  Immigrants,6810,440,210,2595,2090,1475
        Sweden,    Before 1915,10,0,0,0,0,10
        Sweden,    1916 to 1920,10,0,0,0,0,10
        Sweden,    1921 to 1925,90,0,0,0,0,90
        Sweden,    1926 to 1930,130,0,0,0,0,130
        Sweden,    1931 to 1935,15,0,0,0,0,15
        Sweden,    1936 to 1940,15,0,0,0,0,15
        Sweden,    1941 to 1945,30,0,0,0,10,25
        Sweden,    1946 to 1950,340,0,0,0,255,85
        Sweden,    1951 to 1955,825,0,0,25,580,220
        Sweden,    1956 to 1960,540,0,0,135,165,240
        Sweden,    1961 to 1965,435,0,0,95,160,175
        Sweden,    1966 to 1970,650,0,0,200,305,145
        Sweden,    1970 to 1975,690,0,0,330,245,115
        Sweden,    1976 to 1980,620,0,0,360,145,110
        Sweden,    1981 to 1985,360,0,10,220,75,50
        Sweden,    1986 to 1990,425,0,45,275,95,15
        Sweden,    1991 to 1995,475,80,70,290,30,0
        Sweden,    1996 to 2000,540,210,40,270,10,10
        Sweden,    2001 to 2006,615,150,45,395,25,15
        Sweden,  Non-permanent residents,425,75,95,225,25,10
      United Kingdom,Total - Immigrant Status and Period of Immigration,597165,13935,16645,216125,148970,201485
      United Kingdom,  Non-immigrants,9345,1770,1120,3405,2500,545
      United Kingdom,  Immigrants,575405,9875,14220,205350,145705,200260
      United Kingdom,    Before 1915,680,0,0,0,0,680
      United Kingdom,    1916 to 1920,1595,0,0,0,0,1595
      United Kingdom,    1921 to 1925,4115,0,0,0,0,4115
      United Kingdom,    1926 to 1930,6445,0,0,0,0,6445
      United Kingdom,    1931 to 1935,770,0,0,0,0,770
      United Kingdom,    1936 to 1940,1165,0,0,0,0,1165
      United Kingdom,    1941 to 1945,6565,0,0,0,2435,4125
      United Kingdom,    1946 to 1950,37135,0,0,0,12485,24650
      United Kingdom,    1951 to 1955,53560,0,0,3905,16490,33165
      United Kingdom,    1956 to 1960,74405,0,0,14730,15575,44105
      United Kingdom,    1961 to 1965,49260,0,0,15665,11535,22055
      United Kingdom,    1966 to 1970,101390,0,0,35145,36665,29575
      United Kingdom,    1970 to 1975,68655,0,0,32350,24090,12215
      United Kingdom,    1976 to 1980,49665,0,0,29550,13700,6415
      United Kingdom,    1981 to 1985,29825,0,705,19770,5935,3410
      United Kingdom,    1986 to 1990,25970,0,3960,16565,3020,2435
      United Kingdom,    1991 to 1995,20525,985,4175,12305,1680,1385
      United Kingdom,    1996 to 2000,18130,3020,2660,10660,830,960
      United Kingdom,    2001 to 2006,25565,5875,2725,14710,1275,980
      United Kingdom,  Non-permanent residents,12415,2290,1305,7375,765,680
    Southern Europe,Total - Immigrant Status and Period of Immigration,705530,12260,27620,251785,163010,250850
    Southern Europe,  Non-immigrants,2030,325,290,855,175,390
    Southern Europe,  Immigrants,696895,11305,26645,247495,162080,249380
    Southern Europe,    Before 1915,20,0,0,0,0,20
    Southern Europe,    1916 to 1920,30,0,0,0,0,30
    Southern Europe,    1921 to 1925,320,0,0,0,0,320
    Southern Europe,    1926 to 1930,1130,0,0,0,0,1130
    Southern Europe,    1931 to 1935,705,0,0,0,0,705
    Southern Europe,    1936 to 1940,1005,0,0,0,0,1005
    Southern Europe,    1941 to 1945,435,0,0,0,80,355
    Southern Europe,    1946 to 1950,11425,0,0,0,2375,9050
    Southern Europe,    1951 to 1955,65880,0,0,2925,14430,48525
    Southern Europe,    1956 to 1960,109345,0,0,15925,22555,70865
    Southern Europe,    1961 to 1965,93865,0,0,21945,28770,43150
    Southern Europe,    1966 to 1970,126475,0,0,40825,46700,38950
    Southern Europe,    1970 to 1975,84780,0,0,41420,26380,16975
    Southern Europe,    1976 to 1980,36535,0,0,21705,8180,6655
    Southern Europe,    1981 to 1985,18365,0,625,12250,2735,2770
    Southern Europe,    1986 to 1990,35180,0,5865,23260,3640,2415
    Southern Europe,    1991 to 1995,43450,2000,8830,27140,2885,2600
    Southern Europe,    1996 to 2000,42385,4755,7720,25725,2100,2085
    Southern Europe,    2001 to 2006,25550,4550,3605,14370,1250,1775
    Southern Europe,  Non-permanent residents,6600,630,690,3445,765,1080
      Albania,Total - Immigrant Status and Period of Immigration,11115,1735,1820,6530,440,590
      Albania,  Non-immigrants,10,0,10,0,0,0
      Albania,  Immigrants,10290,1615,1670,6025,425,560
      Albania,    Before 1915,0,0,0,0,0,0
      Albania,    1916 to 1920,0,0,0,0,0,0
      Albania,    1921 to 1925,0,0,0,0,0,0
      Albania,    1926 to 1930,10,0,0,0,0,10
      Albania,    1931 to 1935,0,0,0,0,0,0
      Albania,    1936 to 1940,0,0,0,0,0,0
      Albania,    1941 to 1945,15,0,0,0,10,10
      Albania,    1946 to 1950,0,0,0,0,0,0
      Albania,    1951 to 1955,0,0,0,0,0,0
      Albania,    1956 to 1960,45,0,0,0,0,35
      Albania,    1961 to 1965,60,0,0,10,20,35
      Albania,    1966 to 1970,50,0,0,0,20,30
      Albania,    1970 to 1975,15,0,0,0,0,10
      Albania,    1976 to 1980,20,0,0,10,15,0
      Albania,    1981 to 1985,30,0,10,25,0,0
      Albania,    1986 to 1990,60,0,10,40,10,0
      Albania,    1991 to 1995,490,0,95,285,40,70
      Albania,    1996 to 2000,3720,485,710,2300,135,90
      Albania,    2001 to 2006,5775,1125,855,3355,170,265
      Albania,  Non-permanent residents,820,120,145,510,15,30
      Andorra,Total - Immigrant Status and Period of Immigration,30,0,10,20,0,10
      Andorra,  Non-immigrants,0,0,0,0,0,0
      Andorra,  Immigrants,30,0,10,20,0,10
      Andorra,    Before 1915,0,0,0,0,0,0
      Andorra,    1916 to 1920,0,0,0,0,0,0
      Andorra,    1921 to 1925,0,0,0,0,0,0
      Andorra,    1926 to 1930,0,0,0,0,0,0
      Andorra,    1931 to 1935,0,0,0,0,0,0
      Andorra,    1936 to 1940,0,0,0,0,0,0
      Andorra,    1941 to 1945,0,0,0,0,0,0
      Andorra,    1946 to 1950,0,0,0,0,0,0
      Andorra,    1951 to 1955,0,0,0,0,0,0
      Andorra,    1956 to 1960,15,0,0,15,0,0
      Andorra,    1961 to 1965,0,0,0,0,0,0
      Andorra,    1966 to 1970,0,0,0,0,0,0
      Andorra,    1970 to 1975,0,0,0,0,0,0
      Andorra,    1976 to 1980,10,0,0,0,0,10
      Andorra,    1981 to 1985,0,0,0,0,0,0
      Andorra,    1986 to 1990,0,0,0,0,0,0
      Andorra,    1991 to 1995,10,0,10,0,0,0
      Andorra,    1996 to 2000,10,0,0,10,0,0
      Andorra,    2001 to 2006,10,0,0,10,0,0
      Andorra,  Non-permanent residents,0,0,0,0,0,0
      Gibraltar,Total - Immigrant Status and Period of Immigration,215,0,0,95,10,100
      Gibraltar,  Non-immigrants,0,0,0,0,0,0
      Gibraltar,  Immigrants,215,0,0,95,10,100
      Gibraltar,    Before 1915,0,0,0,0,0,0
      Gibraltar,    1916 to 1920,0,0,0,0,0,0
      Gibraltar,    1921 to 1925,0,0,0,0,0,0
      Gibraltar,    1926 to 1930,0,0,0,0,0,0
      Gibraltar,    1931 to 1935,0,0,0,0,0,0
      Gibraltar,    1936 to 1940,0,0,0,0,0,0
      Gibraltar,    1941 to 1945,0,0,0,0,0,0
      Gibraltar,    1946 to 1950,10,0,0,0,0,10
      Gibraltar,    1951 to 1955,0,0,0,0,0,0
      Gibraltar,    1956 to 1960,30,0,0,0,0,30
      Gibraltar,    1961 to 1965,0,0,0,0,0,0
      Gibraltar,    1966 to 1970,25,0,0,10,0,15
      Gibraltar,    1970 to 1975,40,0,0,20,0,20
      Gibraltar,    1976 to 1980,60,0,0,35,10,20
      Gibraltar,    1981 to 1985,10,0,0,10,0,10
      Gibraltar,    1986 to 1990,0,0,0,0,0,0
      Gibraltar,    1991 to 1995,10,0,0,10,0,0
      Gibraltar,    1996 to 2000,10,0,0,10,0,0
      Gibraltar,    2001 to 2006,10,0,0,10,0,0
      Gibraltar,  Non-permanent residents,0,0,0,0,0,0
      Greece,Total - Immigrant Status and Period of Immigration,74010,735,1180,19655,21455,30980
      Greece,  Non-immigrants,405,85,100,140,25,60
      Greece,  Immigrants,73030,635,1040,19215,21265,30870
      Greece,    Before 1915,0,0,0,0,0,0
      Greece,    1916 to 1920,0,0,0,0,0,0
      Greece,    1921 to 1925,20,0,0,0,0,20
      Greece,    1926 to 1930,25,0,0,0,0,25
      Greece,    1931 to 1935,25,0,0,0,0,25
      Greece,    1936 to 1940,110,0,0,0,0,110
      Greece,    1941 to 1945,30,0,0,0,15,15
      Greece,    1946 to 1950,955,0,0,0,190,760
      Greece,    1951 to 1955,4710,0,0,115,780,3810
      Greece,    1956 to 1960,12155,0,0,1110,1710,9330
      Greece,    1961 to 1965,13005,0,0,1815,3980,7215
      Greece,    1966 to 1970,18210,0,0,4545,8030,5635
      Greece,    1970 to 1975,11395,0,0,4770,4390,2240
      Greece,    1976 to 1980,4745,0,0,2845,1260,635
      Greece,    1981 to 1985,2015,0,65,1245,360,350
      Greece,    1986 to 1990,1910,0,345,1005,265,290
      Greece,    1991 to 1995,1705,180,395,765,120,250
      Greece,    1996 to 2000,970,190,125,505,60,95
      Greece,    2001 to 2006,1050,270,110,495,95,75
      Greece,  Non-permanent residents,575,20,45,295,160,50
      Holy See (Vatican City),Total - Immigrant Status and Period of Immigration,0,0,0,0,0,0
      Holy See (Vatican City),  Non-immigrants,0,0,0,0,0,0
      Holy See (Vatican City),  Immigrants,0,0,0,0,0,0
      Holy See (Vatican City),    Before 1915,0,0,0,0,0,0
      Holy See (Vatican City),    1916 to 1920,0,0,0,0,0,0
      Holy See (Vatican City),    1921 to 1925,0,0,0,0,0,0
      Holy See (Vatican City),    1926 to 1930,0,0,0,0,0,0
      Holy See (Vatican City),    1931 to 1935,0,0,0,0,0,0
      Holy See (Vatican City),    1936 to 1940,0,0,0,0,0,0
      Holy See (Vatican City),    1941 to 1945,0,0,0,0,0,0
      Holy See (Vatican City),    1946 to 1950,0,0,0,0,0,0
      Holy See (Vatican City),    1951 to 1955,0,0,0,0,0,0
      Holy See (Vatican City),    1956 to 1960,0,0,0,0,0,0
      Holy See (Vatican City),    1961 to 1965,0,0,0,0,0,0
      Holy See (Vatican City),    1966 to 1970,0,0,0,0,0,0
