,Age groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over,,,
      Monaco,    1996 to 2001,30,20,10,10,0,0,,,
      Monaco,  Non-permanent residents,0,0,0,0,0,0,,,
      Netherlands,Total - Immigrant Status and Period of Immigration,118970,2115,1895,40225,30235,44500,,,
      Netherlands,  Non-immigrants,835,265,100,350,55,70,,,
      Netherlands,  Immigrants,117390,1770,1710,39420,30145,44350,,,
      Netherlands,    Before 1915,15,0,0,0,0,15,,,
      Netherlands,    1916 to 1920,15,0,0,0,0,15,,,
      Netherlands,    1921 to 1925,180,0,0,0,0,180,,,
      Netherlands,    1926 to 1930,365,0,0,0,0,365,,,
      Netherlands,    1931 to 1935,30,0,0,0,0,30,,,
      Netherlands,    1936 to 1940,165,0,0,0,25,145,,,
      Netherlands,    1941 to 1945,155,0,0,0,50,105,,,
      Netherlands,    1946 to 1950,11840,0,0,1385,3855,6600,,,
      Netherlands,    1951 to 1955,44100,0,0,10600,11905,21585,,,
      Netherlands,    1956 to 1960,22145,0,0,6585,5820,9745,,,
      Netherlands,    1961 to 1965,6490,0,0,1980,2480,2025,,,
      Netherlands,    1966 to 1970,8750,0,0,4105,2870,1775,,,
      Netherlands,    1971 to 1975,5235,0,0,3425,1205,610,,,
      Netherlands,    1976 to 1980,5230,0,190,3625,925,485,,,
      Netherlands,    1981 to 1985,3570,0,315,2460,575,220,,,
      Netherlands,    1986 to 1990,2665,110,345,1700,250,255,,,
      Netherlands,    1991 to 1995,2355,380,355,1410,90,110,,,
      Netherlands,    1996 to 2001,4090,1280,495,2140,90,85,,,
      Netherlands,  Non-permanent residents,740,80,90,455,35,80,,,
      Switzerland,Total - Immigrant Status and Period of Immigration,21480,1510,1685,10600,3885,3800,,,
      Switzerland,  Non-immigrants,770,300,205,235,0,20,,,
      Switzerland,  Immigrants,19940,1110,1250,9950,3870,3765,,,
      Switzerland,    Before 1915,0,0,0,0,0,0,,,
      Switzerland,    1916 to 1920,0,0,0,0,0,0,,,
      Switzerland,    1921 to 1925,30,0,0,0,0,30,,,
      Switzerland,    1926 to 1930,60,0,0,0,0,60,,,
      Switzerland,    1931 to 1935,35,0,0,0,0,35,,,
      Switzerland,    1936 to 1940,100,0,0,0,0,95,,,
      Switzerland,    1941 to 1945,25,0,0,0,0,25,,,
      Switzerland,    1946 to 1950,380,0,0,35,85,260,,,
      Switzerland,    1951 to 1955,1655,0,0,295,265,1100,,,
      Switzerland,    1956 to 1960,1565,0,0,345,385,835,,,
      Switzerland,    1961 to 1965,1095,0,0,200,640,255,,,
      Switzerland,    1966 to 1970,2590,0,0,1145,1220,225,,,
      Switzerland,    1971 to 1975,1610,0,0,1085,350,180,,,
      Switzerland,    1976 to 1980,2365,0,75,1655,395,235,,,
      Switzerland,    1981 to 1985,1650,0,185,1170,155,150,,,
      Switzerland,    1986 to 1990,1780,80,385,1060,140,110,,,
      Switzerland,    1991 to 1995,1925,315,255,1115,110,125,,,
      Switzerland,    1996 to 2001,3065,710,355,1840,115,50,,,
      Switzerland,  Non-permanent residents,770,105,225,415,10,10,,,
    Eastern Europe,Total - Immigrant Status and Period of Immigration,481540,26895,46835,210315,51500,146005,,,
    Eastern Europe,  Non-immigrants,870,180,90,220,90,285,,,
    Eastern Europe,  Immigrants,470550,25475,44705,204270,50985,145120,,,
    Eastern Europe,    Before 1915,505,0,0,0,0,505,,,
    Eastern Europe,    1916 to 1920,270,0,0,0,0,270,,,
    Eastern Europe,    1921 to 1925,3080,0,0,0,0,3080,,,
    Eastern Europe,    1926 to 1930,12680,0,0,0,0,12680,,,
    Eastern Europe,    1931 to 1935,3365,0,0,0,0,3365,,,
    Eastern Europe,    1936 to 1940,5160,0,0,0,195,4970,,,
    Eastern Europe,    1941 to 1945,880,0,0,0,105,775,,,
    Eastern Europe,    1946 to 1950,38910,0,0,465,5435,33010,,,
    Eastern Europe,    1951 to 1955,34665,0,0,950,5225,28495,,,
    Eastern Europe,    1956 to 1960,35720,0,0,5325,8630,21765,,,
    Eastern Europe,    1961 to 1965,13260,0,0,3650,3080,6530,,,
    Eastern Europe,    1966 to 1970,23225,0,0,8100,7310,7815,,,
    Eastern Europe,    1971 to 1975,13305,0,0,6080,3460,3765,,,
    Eastern Europe,    1976 to 1980,16670,0,395,9610,3335,3330,,,
    Eastern Europe,    1981 to 1985,33770,0,3590,22980,3990,3205,,,
    Eastern Europe,    1986 to 1990,70880,1825,13815,47300,4075,3850,,,
    Eastern Europe,    1991 to 1995,76600,7690,14590,47085,3380,3865,,,
    Eastern Europe,    1996 to 2001,87625,15960,12310,52740,2765,3850,,,
    Eastern Europe,  Non-permanent residents,10125,1230,2040,5830,420,605,,,
      Bulgaria,Total - Immigrant Status and Period of Immigration,9515,1150,1355,5635,590,785,,,
      Bulgaria,  Non-immigrants,25,10,10,10,0,0,,,
      Bulgaria,  Immigrants,9075,1095,1265,5355,585,775,,,
      Bulgaria,    Before 1915,0,0,0,0,0,0,,,
      Bulgaria,    1916 to 1920,10,0,0,0,0,10,,,
      Bulgaria,    1921 to 1925,15,0,0,0,0,15,,,
      Bulgaria,    1926 to 1930,10,0,0,0,0,10,,,
      Bulgaria,    1931 to 1935,0,0,0,0,0,0,,,
      Bulgaria,    1936 to 1940,20,0,0,0,0,20,,,
      Bulgaria,    1941 to 1945,10,0,0,0,0,10,,,
      Bulgaria,    1946 to 1950,100,0,0,10,10,75,,,
      Bulgaria,    1951 to 1955,165,0,0,10,0,155,,,
      Bulgaria,    1956 to 1960,65,0,0,0,15,50,,,
      Bulgaria,    1961 to 1965,65,0,0,10,10,45,,,
      Bulgaria,    1966 to 1970,240,0,0,45,90,115,,,
      Bulgaria,    1971 to 1975,180,0,0,95,50,35,,,
      Bulgaria,    1976 to 1980,145,0,0,80,35,25,,,
      Bulgaria,    1981 to 1985,190,0,0,115,30,45,,,
      Bulgaria,    1986 to 1990,650,15,85,465,35,50,,,
      Bulgaria,    1991 to 1995,2750,290,515,1750,145,45,,,
      Bulgaria,    1996 to 2001,4480,790,660,2775,165,80,,,
      Bulgaria,  Non-permanent residents,420,50,90,270,0,0,,,
"      Czech and Slovak Federal Republic, Former",Total - Immigrant Status and Period of Immigration,40555,950,2475,17220,7075,12845,,,
"      Czech and Slovak Federal Republic, Former",  Non-immigrants,80,50,0,15,0,15,,,
"      Czech and Slovak Federal Republic, Former",  Immigrants,39680,815,2275,16755,7055,12785,,,
"      Czech and Slovak Federal Republic, Former",    Before 1915,15,0,0,0,0,15,,,
"      Czech and Slovak Federal Republic, Former",    1916 to 1920,0,0,0,0,0,0,,,
"      Czech and Slovak Federal Republic, Former",    1921 to 1925,95,0,0,0,0,95,,,
"      Czech and Slovak Federal Republic, Former",    1926 to 1930,950,0,0,0,0,950,,,
"      Czech and Slovak Federal Republic, Former",    1931 to 1935,630,0,0,0,0,630,,,
"      Czech and Slovak Federal Republic, Former",    1936 to 1940,1520,0,0,0,60,1460,,,
"      Czech and Slovak Federal Republic, Former",    1941 to 1945,110,0,0,0,10,110,,,
"      Czech and Slovak Federal Republic, Former",    1946 to 1950,2530,0,0,170,435,1930,,,
"      Czech and Slovak Federal Republic, Former",    1951 to 1955,3445,0,0,220,360,2870,,,
"      Czech and Slovak Federal Republic, Former",    1956 to 1960,1315,0,0,90,275,955,,,
"      Czech and Slovak Federal Republic, Former",    1961 to 1965,540,0,0,75,165,300,,,
"      Czech and Slovak Federal Republic, Former",    1966 to 1970,10240,0,0,4225,3650,2360,,,
"      Czech and Slovak Federal Republic, Former",    1971 to 1975,1840,0,0,790,660,390,,,
"      Czech and Slovak Federal Republic, Former",    1976 to 1980,2180,0,60,1490,510,115,,,
"      Czech and Slovak Federal Republic, Former",    1981 to 1985,3950,0,475,2885,435,160,,,
"      Czech and Slovak Federal Republic, Former",    1986 to 1990,4400,60,845,2940,340,210,,,
"      Czech and Slovak Federal Republic, Former",    1991 to 1995,2355,190,365,1565,95,145,,,
"      Czech and Slovak Federal Republic, Former",    1996 to 2001,3545,560,520,2310,60,85,,,
"      Czech and Slovak Federal Republic, Former",  Non-permanent residents,795,85,200,450,10,45,,,
        Czech Republic,Total - Immigrant Status and Period of Immigration,16465,420,1145,7995,3285,3620,,,
        Czech Republic,  Non-immigrants,25,30,0,0,0,10,,,
        Czech Republic,  Immigrants,16035,340,1035,7780,3280,3615,,,
        Czech Republic,    Before 1915,0,0,0,0,0,0,,,
        Czech Republic,    1916 to 1920,0,0,0,0,0,0,,,
        Czech Republic,    1921 to 1925,20,0,0,0,0,20,,,
        Czech Republic,    1926 to 1930,100,0,0,0,0,100,,,
        Czech Republic,    1931 to 1935,45,0,0,0,0,45,,,
        Czech Republic,    1936 to 1940,195,0,0,0,10,190,,,
        Czech Republic,    1941 to 1945,40,0,0,0,10,35,,,
        Czech Republic,    1946 to 1950,615,0,0,35,105,475,,,
        Czech Republic,    1951 to 1955,1155,0,0,90,115,955,,,
        Czech Republic,    1956 to 1960,530,0,0,45,150,335,,,
        Czech Republic,    1961 to 1965,135,0,0,30,40,65,,,
        Czech Republic,    1966 to 1970,4760,0,0,1990,1795,970,,,
        Czech Republic,    1971 to 1975,920,0,0,390,385,140,,,
        Czech Republic,    1976 to 1980,1160,0,40,835,245,40,,,
        Czech Republic,    1981 to 1985,2115,0,235,1590,225,70,,,
        Czech Republic,    1986 to 1990,1845,25,335,1310,115,60,,,
        Czech Republic,    1991 to 1995,1050,70,195,675,45,60,,,
        Czech Republic,    1996 to 2001,1340,250,225,780,40,45,,,
        Czech Republic,  Non-permanent residents,405,55,110,215,10,10,,,
        Slovakia,Total - Immigrant Status and Period of Immigration,10715,410,820,4700,1450,3330,,,
        Slovakia,  Non-immigrants,25,20,0,0,0,0,,,
        Slovakia,  Immigrants,10430,375,750,4545,1445,3310,,,
        Slovakia,    Before 1915,0,0,0,0,0,0,,,
        Slovakia,    1916 to 1920,0,0,0,0,0,0,,,
        Slovakia,    1921 to 1925,15,0,0,0,0,15,,,
        Slovakia,    1926 to 1930,290,0,0,0,0,290,,,
        Slovakia,    1931 to 1935,275,0,0,0,0,275,,,
        Slovakia,    1936 to 1940,625,0,0,0,10,620,,,
        Slovakia,    1941 to 1945,30,0,0,0,0,30,,,
        Slovakia,    1946 to 1950,740,0,0,40,110,590,,,
        Slovakia,    1951 to 1955,535,0,0,30,30,475,,,
        Slovakia,    1956 to 1960,215,0,0,0,40,175,,,
        Slovakia,    1961 to 1965,110,0,0,10,20,85,,,
        Slovakia,    1966 to 1970,2335,0,0,975,835,525,,,
        Slovakia,    1971 to 1975,300,0,0,150,65,85,,,
        Slovakia,    1976 to 1980,365,0,20,215,95,40,,,
        Slovakia,    1981 to 1985,665,0,95,470,80,25,,,
        Slovakia,    1986 to 1990,1350,30,290,865,130,30,,,
        Slovakia,    1991 to 1995,785,75,135,520,20,40,,,
        Slovakia,    1996 to 2001,1800,280,215,1280,15,15,,,
        Slovakia,  Non-permanent residents,260,15,70,155,0,20,,,
"        Czechoslovakia, n.i.e.",Total - Immigrant Status and Period of Immigration,13375,115,510,4525,2340,5890,,,
"        Czechoslovakia, n.i.e.",  Non-immigrants,30,0,0,15,0,15,,,
"        Czechoslovakia, n.i.e.",  Immigrants,13215,95,495,4430,2335,5860,,,
"        Czechoslovakia, n.i.e.",    Before 1915,15,0,0,0,0,15,,,
"        Czechoslovakia, n.i.e.",    1916 to 1920,0,0,0,0,0,0,,,
"        Czechoslovakia, n.i.e.",    1921 to 1925,55,0,0,0,0,55,,,
"        Czechoslovakia, n.i.e.",    1926 to 1930,555,0,0,0,0,555,,,
"        Czechoslovakia, n.i.e.",    1931 to 1935,310,0,0,0,0,310,,,
"        Czechoslovakia, n.i.e.",    1936 to 1940,705,0,0,0,45,660,,,
"        Czechoslovakia, n.i.e.",    1941 to 1945,45,0,0,0,0,45,,,
"        Czechoslovakia, n.i.e.",    1946 to 1950,1175,0,0,95,220,860,,,
"        Czechoslovakia, n.i.e.",    1951 to 1955,1750,0,0,105,210,1435,,,
"        Czechoslovakia, n.i.e.",    1956 to 1960,570,0,0,45,80,445,,,
"        Czechoslovakia, n.i.e.",    1961 to 1965,290,0,0,35,105,150,,,
"        Czechoslovakia, n.i.e.",    1966 to 1970,3145,0,0,1260,1020,865,,,
"        Czechoslovakia, n.i.e.",    1971 to 1975,630,0,0,250,215,165,,,
"        Czechoslovakia, n.i.e.",    1976 to 1980,655,0,10,445,170,35,,,
"        Czechoslovakia, n.i.e.",    1981 to 1985,1170,0,145,825,140,70,,,
"        Czechoslovakia, n.i.e.",    1986 to 1990,1205,10,220,760,100,115,,,
"        Czechoslovakia, n.i.e.",    1991 to 1995,525,50,40,365,25,50,,,
"        Czechoslovakia, n.i.e.",    1996 to 2001,400,40,85,250,0,30,,,
"        Czechoslovakia, n.i.e.",  Non-permanent residents,130,20,20,80,0,15,,,
      Hungary,Total - Immigrant Status and Period of Immigration,50675,1195,2020,15250,10300,21900,,,
      Hungary,  Non-immigrants,115,20,10,25,30,25,,,
      Hungary,  Immigrants,48580,775,1550,14265,10195,21800,,,
      Hungary,    Before 1915,10,0,0,0,0,10,,,
      Hungary,    1916 to 1920,20,0,0,0,0,20,,,
      Hungary,    1921 to 1925,170,0,0,0,0,170,,,
      Hungary,    1926 to 1930,1285,0,0,0,0,1285,,,
      Hungary,    1931 to 1935,535,0,0,0,0,535,,,
      Hungary,    1936 to 1940,420,0,0,0,0,420,,,
      Hungary,    1941 to 1945,55,0,0,0,10,50,,,
      Hungary,    1946 to 1950,2060,0,0,40,330,1685,,,
      Hungary,    1951 to 1955,3555,0,0,195,580,2785,,,
      Hungary,    1956 to 1960,19255,0,0,3340,5375,10540,,,
      Hungary,    1961 to 1965,3215,0,0,865,940,1410,,,
      Hungary,    1966 to 1970,3745,0,0,1025,1310,1410,,,
      Hungary,    1971 to 1975,2370,0,0,1040,735,595,,,
      Hungary,    1976 to 1980,1545,0,20,950,270,305,,,
      Hungary,    1981 to 1985,1920,0,175,1315,235,195,,,
      Hungary,    1986 to 1990,3535,70,675,2505,160,125,,,
      Hungary,    1991 to 1995,2305,200,320,1505,135,145,,,
      Hungary,    1996 to 2001,2590,510,365,1485,110,120,,,
      Hungary,  Non-permanent residents,1980,400,460,965,75,75,,,
      Poland,Total - Immigrant Status and Period of Immigration,181845,4625,21730,88580,16235,50675,,,
      Poland,  Non-immigrants,340,50,40,100,30,125,,,
      Poland,  Immigrants,180115,4420,21435,87740,16135,50390,,,
      Poland,    Before 1915,120,0,0,0,0,120,,,
      Poland,    1916 to 1920,115,0,0,0,0,115,,,
      Poland,    1921 to 1925,540,0,0,0,0,540,,,
      Poland,    1926 to 1930,5115,0,0,0,0,5115,,,
      Poland,    1931 to 1935,1325,0,0,0,0,1325,,,
      Poland,    1936 to 1940,1775,0,0,0,65,1710,,,
      Poland,    1941 to 1945,355,0,0,0,20,330,,,
      Poland,    1946 to 1950,14665,0,0,200,1575,12895,,,
      Poland,    1951 to 1955,11465,0,0,355,1645,9465,,,
      Poland,    1956 to 1960,8815,0,0,1625,1705,5490,,,
      Poland,    1961 to 1965,7130,0,0,2385,1415,3330,,,
      Poland,    1966 to 1970,5745,0,0,2225,1390,2135,,,
      Poland,    1971 to 1975,4855,0,0,2640,960,1260,,,
      Poland,    1976 to 1980,5460,0,95,3510,930,925,,,
      Poland,    1981 to 1985,21650,0,2435,15185,2315,1720,,,
      Poland,    1986 to 1990,47690,1030,9920,32810,2140,1800,,,
      Poland,    1991 to 1995,34975,2435,7605,22055,1465,1410,,,
      Poland,    1996 to 2001,8320,960,1375,4765,510,720,,,
      Poland,  Non-permanent residents,1390,155,260,740,70,160,,,
      Romania,Total - Immigrant Status and Period of Immigration,61235,6630,6360,32815,4690,10730,,,
      Romania,  Non-immigrants,50,20,10,10,0,0,,,
      Romania,  Immigrants,60055,6525,6160,32075,4645,10655,,,
      Romania,    Before 1915,35,0,0,0,0,35,,,
      Romania,    1916 to 1920,30,0,0,0,0,30,,,
      Romania,    1921 to 1925,160,0,0,0,0,160,,,
      Romania,    1926 to 1930,670,0,0,0,0,670,,,
      Romania,    1931 to 1935,170,0,0,0,0,170,,,
      Romania,    1936 to 1940,180,0,0,0,10,175,,,
      Romania,    1941 to 1945,10,0,0,0,10,0,,,
      Romania,    1946 to 1950,1320,0,0,10,225,1090,,,
      Romania,    1951 to 1955,3015,0,0,95,550,2365,,,
      Romania,    1956 to 1960,1565,0,0,85,340,1145,,,
      Romania,    1961 to 1965,980,0,0,230,160,590,,,
      Romania,    1966 to 1970,1315,0,0,380,270,670,,,
      Romania,    1971 to 1975,1480,0,0,540,430,510,,,
      Romania,    1976 to 1980,2155,0,45,1095,470,550,,,
      Romania,    1981 to 1985,3850,0,405,2310,670,465,,,
      Romania,    1986 to 1990,8005,425,1410,4785,675,710,,,
      Romania,    1991 to 1995,15110,2420,2410,9415,380,490,,,
      Romania,    1996 to 2001,20010,3680,1890,13140,455,850,,,
      Romania,  Non-permanent residents,1125,90,185,730,45,75,,,
"      U.S.S.R., Former (European Component)",Total - Immigrant Status and Period of Immigration,137715,12335,12885,50810,12605,49075,,,
"      U.S.S.R., Former (European Component)",  Non-immigrants,255,35,20,60,25,115,,,
"      U.S.S.R., Former (European Component)",  Immigrants,133040,11850,12025,48080,12370,48720,,,
"      U.S.S.R., Former (European Component)",    Before 1915,320,0,0,0,0,320,,,
"      U.S.S.R., Former (European Component)",    1916 to 1920,95,0,0,0,0,95,,,
"      U.S.S.R., Former (European Component)",    1921 to 1925,2100,0,0,0,0,2100,,,
"      U.S.S.R., Former (European Component)",    1926 to 1930,4655,0,0,0,0,4655,,,
"      U.S.S.R., Former (European Component)",    1931 to 1935,705,0,0,0,0,705,,,
"      U.S.S.R., Former (European Component)",    1936 to 1940,1240,0,0,0,60,1180,,,
"      U.S.S.R., Former (European Component)",    1941 to 1945,350,0,0,0,70,280,,,
"      U.S.S.R., Former (European Component)",    1946 to 1950,18235,0,0,40,2860,15335,,,
"      U.S.S.R., Former (European Component)",    1951 to 1955,13015,0,0,75,2080,10860,,,
"      U.S.S.R., Former (European Component)",    1956 to 1960,4700,0,0,185,935,3585,,,
"      U.S.S.R., Former (European Component)",    1961 to 1965,1330,0,0,85,385,860,,,
"      U.S.S.R., Former (European Component)",    1966 to 1970,1940,0,0,215,595,1130,,,
"      U.S.S.R., Former (European Component)",    1971 to 1975,2570,0,0,980,620,970,,,
"      U.S.S.R., Former (European Component)",    1976 to 1980,5185,0,175,2480,1120,1410,,,
"      U.S.S.R., Former (European Component)",    1981 to 1985,2205,0,105,1170,300,630,,,
"      U.S.S.R., Former (European Component)",    1986 to 1990,6595,235,885,3790,725,960,,,
"      U.S.S.R., Former (European Component)",    1991 to 1995,19100,2150,3365,10790,1155,1635,,,
"      U.S.S.R., Former (European Component)",    1996 to 2001,48675,9465,7490,28270,1465,1995,,,
"      U.S.S.R., Former (European Component)",  Non-permanent residents,4420,450,840,2670,215,245,,,
"        Baltic Republics, Former Soviet",Total - Immigrant Status and Period of Immigration,21045,585,765,2575,3540,13580,,,
"        Baltic Republics, Former Soviet",  Non-immigrants,0,0,0,0,0,0,,,
"        Baltic Republics, Former Soviet",  Immigrants,20870,585,720,2500,3510,13555,,,
"        Baltic Republics, Former Soviet",    Before 1915,20,0,0,0,0,20,,,
"        Baltic Republics, Former Soviet",    1916 to 1920,0,0,0,0,0,0,,,
"        Baltic Republics, Former Soviet",    1921 to 1925,100,0,0,0,0,100,,,
"        Baltic Republics, Former Soviet",    1926 to 1930,240,0,0,0,0,240,,,
"        Baltic Republics, Former Soviet",    1931 to 1935,125,0,0,0,0,125,,,
"        Baltic Republics, Former Soviet",    1936 to 1940,170,0,0,0,10,165,,,
"        Baltic Republics, Former Soviet",    1941 to 1945,135,0,0,0,35,105,,,
"        Baltic Republics, Former Soviet",    1946 to 1950,7080,0,0,15,1310,5760,,,
"        Baltic Republics, Former Soviet",    1951 to 1955,5635,0,0,25,1070,4540,,,
"        Baltic Republics, Former Soviet",    1956 to 1960,1485,0,0,25,245,1220,,,
"        Baltic Republics, Former Soviet",    1961 to 1965,345,0,0,25,85,235,,,
"        Baltic Republics, Former Soviet",    1966 to 1970,690,0,0,35,270,385,,,
"        Baltic Republics, Former Soviet",    1971 to 1975,310,0,0,115,105,90,,,
"        Baltic Republics, Former Soviet",    1976 to 1980,365,0,0,160,70,125,,,
"        Baltic Republics, Former Soviet",    1981 to 1985,315,0,10,135,30,140,,,
"        Baltic Republics, Former Soviet",    1986 to 1990,655,35,70,385,75,85,,,
"        Baltic Republics, Former Soviet",    1991 to 1995,1310,135,240,655,145,140,,,
"        Baltic Republics, Former Soviet",    1996 to 2001,1900,410,400,935,65,85,,,
"        Baltic Republics, Former Soviet",  Non-permanent residents,175,0,45,80,30,15,,,
          Lithuania,Total - Immigrant Status and Period of Immigration,6910,135,165,945,920,4745,,,
          Lithuania,  Non-immigrants,0,0,0,0,0,0,,,
          Lithuania,  Immigrants,6820,130,140,895,910,4740,,,
          Lithuania,    Before 1915,10,0,0,0,0,10,,,
          Lithuania,    1916 to 1920,0,0,0,0,0,0,,,
          Lithuania,    1921 to 1925,50,0,0,0,0,50,,,
          Lithuania,    1926 to 1930,145,0,0,0,0,145,,,
          Lithuania,    1931 to 1935,75,0,0,0,0,75,,,
          Lithuania,    1936 to 1940,145,0,0,0,10,140,,,
          Lithuania,    1941 to 1945,35,0,0,0,0,40,,,
